season,constructor,era,races,total_points,avg_grid_position,avg_finish_position,dnf_rate,wins,podiums,top10_finishes,podium_rate,top10_rate,final_rank,prev_final_rank,prev_total_points,prev_avg_grid_position,prev_avg_finish_position,prev_dnf_rate,prev_wins,prev_podiums,prev_top10_finishes,prev_podium_rate,prev_top10_rate,prev_driver_strength_mean,prev_driver_strength_max
2015,Ferrari,2014-2016_early_hybrid,19,428.0,6.394736842105263,6.026315789473684,0.21052631578947367,3,16,31,0.42105263157894735,0.8157894736842105,2,4.0,216.0,7.947368421052632,8.473684210526315,0.23684210526315788,0.0,2.0,30.0,0.05263157894736842,0.7894736842105263,0.14666666666666667,0.22666666666666666
2016,Ferrari,2014-2016_early_hybrid,21,398.0,5.690476190476191,7.404761904761905,0.19047619047619047,0,11,34,0.2619047619047619,0.8095238095238095,3,2.0,428.0,6.394736842105263,6.026315789473684,0.21052631578947367,3.0,16.0,31.0,0.42105263157894735,0.8157894736842105,0.32606060606060605,0.45212121212121215
2017,Ferrari,2017-2021_wide_car,20,522.0,3.45,5.475,0.15,5,20,34,0.5,0.85,2,3.0,398.0,5.690476190476191,7.404761904761905,0.19047619047619047,0.0,11.0,34.0,0.2619047619047619,0.8095238095238095,0.27454545454545454,0.2993939393939394
2018,Ferrari,2017-2021_wide_car,21,571.0,3.3095238095238093,4.928571428571429,0.11904761904761904,6,24,37,0.5714285714285714,0.8809523809523809,2,2.0,522.0,3.45,5.475,0.15,5.0,20.0,34.0,0.5,0.85,0.4072727272727273,0.5236363636363637
2019,Ferrari,2017-2021_wide_car,21,504.0,4.261904761904762,6.0,0.21428571428571427,3,19,34,0.4523809523809524,0.8095238095238095,2,2.0,571.0,3.3095238095238093,4.928571428571429,0.11904761904761904,6.0,24.0,37.0,0.5714285714285714,0.8809523809523809,0.28424242424242424,0.5212121212121212
2020,Ferrari,2017-2021_wide_car,17,131.0,10.264705882352942,10.705882352941176,0.4411764705882353,0,3,17,0.08823529411764706,0.5,6,2.0,504.0,4.261904761904762,6.0,0.21428571428571427,3.0,19.0,34.0,0.4523809523809524,0.8095238095238095,0.3812121212121212,0.40484848484848485
2021,Ferrari,2017-2021_wide_car,22,322.5,7.181818181818182,7.113636363636363,0.20454545454545456,0,5,38,0.11363636363636363,0.8636363636363636,3,6.0,131.0,10.264705882352942,10.705882352941176,0.4411764705882353,0.0,3.0,17.0,0.08823529411764706,0.5,0.13212121212121214,0.13333333333333333
2022,Ferrari,2022-2025_ground_effect,22,519.0,4.318181818181818,6.681818181818182,0.20454545454545456,4,20,35,0.45454545454545453,0.7954545454545454,2,3.0,322.5,7.181818181818182,7.113636363636363,0.20454545454545456,0.0,5.0,38.0,0.11363636363636363,0.8636363636363636,0.2106060606060606,0.2224242424242424
2023,Ferrari,2022-2025_ground_effect,22,363.0,5.363636363636363,7.863636363636363,0.18181818181818182,1,9,34,0.20454545454545456,0.7727272727272727,3,2.0,519.0,4.318181818181818,6.681818181818182,0.20454545454545456,4.0,20.0,35.0,0.45454545454545453,0.7954545454545454,0.3993939393939394,0.45575757575757575
2024,Ferrari,2022-2025_ground_effect,24,595.0,5.666666666666667,5.145833333333333,0.10416666666666667,5,22,42,0.4583333333333333,0.875,2,3.0,363.0,5.363636363636363,7.863636363636363,0.18181818181818182,1.0,9.0,34.0,0.20454545454545456,0.7727272727272727,0.25333333333333335,0.2606060606060606
2025,Ferrari,2022-2025_ground_effect,24,360.0,7.395833333333333,7.625,0.14583333333333334,0,7,39,0.14583333333333334,0.8125,4,2.0,595.0,5.666666666666667,5.145833333333333,0.10416666666666667,5.0,22.0,42.0,0.4583333333333333,0.875,0.40848484848484845,0.5115151515151515
2011,HRT,2010-2013_post_points_change,18,0.0,22.52777777777778,20.0,1.0,0,0,0,0.0,0.0,10,10.0,0.0,22.657894736842106,18.94736842105263,1.0,0.0,0.0,0.0,0.0,0.0,0.025454545454545455,0.025454545454545455
2012,HRT,2010-2013_post_points_change,19,0.0,22.473684210526315,20.31578947368421,0.9736842105263158,0,0,0,0.0,0.0,10,10.0,0.0,22.52777777777778,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
